,emoji,group,subgroup,name,qualified_status,edition,codepoint_readable,utf8_codepoint
1320,💂,People & Body,person-role,guard,fully-qualified,E0.6,1F482,\U0001f482
1321,💂🏻,People & Body,person-role,guard: light skin tone,fully-qualified,E1.0,1F482 1F3FB,\U0001f482\U0001f3fb
1322,💂🏼,People & Body,person-role,guard: medium-light skin tone,fully-qualified,E1.0,1F482 1F3FC,\U0001f482\U0001f3fc
1323,💂🏽,People & Body,person-role,guard: medium skin tone,fully-qualified,E1.0,1F482 1F3FD,\U0001f482\U0001f3fd
1324,💂🏾,People & Body,person-role,guard: medium-dark skin tone,fully-qualified,E1.0,1F482 1F3FE,\U0001f482\U0001f3fe
1325,💂🏿,People & Body,person-role,guard: dark skin tone,fully-qualified,E1.0,1F482 1F3FF,\U0001f482\U0001f3ff
1326,💂‍♂️,People & Body,person-role,man guard,fully-qualified,E4.0,1F482 200D 2642 FE0F,\U0001f482\u200d\u2642\ufe0f
1327,💂‍♂,People & Body,person-role,man guard,minimally-qualified,E4.0,1F482 200D 2642,\U0001f482\u200d\u2642
1328,💂🏻‍♂️,People & Body,person-role,man guard: light skin tone,fully-qualified,E4.0,1F482 1F3FB 200D 2642 FE0F,\U0001f482\U0001f3fb\u200d\u2642\ufe0f
1329,💂🏻‍♂,People & Body,person-role,man guard: light skin tone,minimally-qualified,E4.0,1F482 1F3FB 200D 2642,\U0001f482\U0001f3fb\u200d\u2642
1330,💂🏼‍♂️,People & Body,person-role,man guard: medium-light skin tone,fully-qualified,E4.0,1F482 1F3FC 200D 2642 FE0F,\U0001f482\U0001f3fc\u200d\u2642\ufe0f
1331,💂🏼‍♂,People & Body,person-role,man guard: medium-light skin tone,minimally-qualified,E4.0,1F482 1F3FC 200D 2642,\U0001f482\U0001f3fc\u200d\u2642
1332,💂🏽‍♂️,People & Body,person-role,man guard: medium skin tone,fully-qualified,E4.0,1F482 1F3FD 200D 2642 FE0F,\U0001f482\U0001f3fd\u200d\u2642\ufe0f
1333,💂🏽‍♂,People & Body,person-role,man guard: medium skin tone,minimally-qualified,E4.0,1F482 1F3FD 200D 2642,\U0001f482\U0001f3fd\u200d\u2642
1334,💂🏾‍♂️,People & Body,person-role,man guard: medium-dark skin tone,fully-qualified,E4.0,1F482 1F3FE 200D 2642 FE0F,\U0001f482\U0001f3fe\u200d\u2642\ufe0f
1335,💂🏾‍♂,People & Body,person-role,man guard: medium-dark skin tone,minimally-qualified,E4.0,1F482 1F3FE 200D 2642,\U0001f482\U0001f3fe\u200d\u2642
1336,💂🏿‍♂️,People & Body,person-role,man guard: dark skin tone,fully-qualified,E4.0,1F482 1F3FF 200D 2642 FE0F,\U0001f482\U0001f3ff\u200d\u2642\ufe0f
1337,💂🏿‍♂,People & Body,person-role,man guard: dark skin tone,minimally-qualified,E4.0,1F482 1F3FF 200D 2642,\U0001f482\U0001f3ff\u200d\u2642
1338,💂‍♀️,People & Body,person-role,woman guard,fully-qualified,E4.0,1F482 200D 2640 FE0F,\U0001f482\u200d\u2640\ufe0f
1339,💂‍♀,People & Body,person-role,woman guard,minimally-qualified,E4.0,1F482 200D 2640,\U0001f482\u200d\u2640
1340,💂🏻‍♀️,People & Body,person-role,woman guard: light skin tone,fully-qualified,E4.0,1F482 1F3FB 200D 2640 FE0F,\U0001f482\U0001f3fb\u200d\u2640\ufe0f
1341,💂🏻‍♀,People & Body,person-role,woman guard: light skin tone,minimally-qualified,E4.0,1F482 1F3FB 200D 2640,\U0001f482\U0001f3fb\u200d\u2640
1342,💂🏼‍♀️,People & Body,person-role,woman guard: medium-light skin tone,fully-qualified,E4.0,1F482 1F3FC 200D 2640 FE0F,\U0001f482\U0001f3fc\u200d\u2640\ufe0f
1343,💂🏼‍♀,People & Body,person-role,woman guard: medium-light skin tone,minimally-qualified,E4.0,1F482 1F3FC 200D 2640,\U0001f482\U0001f3fc\u200d\u2640
1344,💂🏽‍♀️,People & Body,person-role,woman guard: medium skin tone,fully-qualified,E4.0,1F482 1F3FD 200D 2640 FE0F,\U0001f482\U0001f3fd\u200d\u2640\ufe0f
1345,💂🏽‍♀,People & Body,person-role,woman guard: medium skin tone,minimally-qualified,E4.0,1F482 1F3FD 200D 2640,\U0001f482\U0001f3fd\u200d\u2640
1346,💂🏾‍♀️,People & Body,person-role,woman guard: medium-dark skin tone,fully-qualified,E4.0,1F482 1F3FE 200D 2640 FE0F,\U0001f482\U0001f3fe\u200d\u2640\ufe0f
1347,💂🏾‍♀,People & Body,person-role,woman guard: medium-dark skin tone,minimally-qualified,E4.0,1F482 1F3FE 200D 2640,\U0001f482\U0001f3fe\u200d\u2640
1348,💂🏿‍♀️,People & Body,person-role,woman guard: dark skin tone,fully-qualified,E4.0,1F482 1F3FF 200D 2640 FE0F,\U0001f482\U0001f3ff\u200d\u2640\ufe0f
1349,💂🏿‍♀,People & Body,person-role,woman guard: dark skin tone,minimally-qualified,E4.0,1F482 1F3FF 200D 2640,\U0001f482\U0001f3ff\u200d\u2640
1350,🥷,People & Body,person-role,ninja,fully-qualified,E13.0,1F977,\U0001f977
1351,🥷🏻,People & Body,person-role,ninja: light skin tone,fully-qualified,E13.0,1F977 1F3FB,\U0001f977\U0001f3fb
1352,🥷🏼,People & Body,person-role,ninja: medium-light skin tone,fully-qualified,E13.0,1F977 1F3FC,\U0001f977\U0001f3fc
1353,🥷🏽,People & Body,person-role,ninja: medium skin tone,fully-qualified,E13.0,1F977 1F3FD,\U0001f977\U0001f3fd
1354,🥷🏾,People & Body,person-role,ninja: medium-dark skin tone,fully-qualified,E13.0,1F977 1F3FE,\U0001f977\U0001f3fe
1355,🥷🏿,People & Body,person-role,ninja: dark skin tone,fully-qualified,E13.0,1F977 1F3FF,\U0001f977\U0001f3ff
1356,👷,People & Body,person-role,construction worker,fully-qualified,E0.6,1F477,\U0001f477
1357,👷🏻,People & Body,person-role,construction worker: light skin tone,fully-qualified,E1.0,1F477 1F3FB,\U0001f477\U0001f3fb
1358,👷🏼,People & Body,person-role,construction worker: medium-light skin tone,fully-qualified,E1.0,1F477 1F3FC,\U0001f477\U0001f3fc
1359,👷🏽,People & Body,person-role,construction worker: medium skin tone,fully-qualified,E1.0,1F477 1F3FD,\U0001f477\U0001f3fd
1360,👷🏾,People & Body,person-role,construction worker: medium-dark skin tone,fully-qualified,E1.0,1F477 1F3FE,\U0001f477\U0001f3fe
1361,👷🏿,People & Body,person-role,construction worker: dark skin tone,fully-qualified,E1.0,1F477 1F3FF,\U0001f477\U0001f3ff
1362,👷‍♂️,People & Body,person-role,man construction worker,fully-qualified,E4.0,1F477 200D 2642 FE0F,\U0001f477\u200d\u2642\ufe0f
1363,👷‍♂,People & Body,person-role,man construction worker,minimally-qualified,E4.0,1F477 200D 2642,\U0001f477\u200d\u2642
1364,👷🏻‍♂️,People & Body,person-role,man construction worker: light skin tone,fully-qualified,E4.0,1F477 1F3FB 200D 2642 FE0F,\U0001f477\U0001f3fb\u200d\u2642\ufe0f
1365,👷🏻‍♂,People & Body,person-role,man construction worker: light skin tone,minimally-qualified,E4.0,1F477 1F3FB 200D 2642,\U0001f477\U0001f3fb\u200d\u2642
1366,👷🏼‍♂️,People & Body,person-role,man construction worker: medium-light skin tone,fully-qualified,E4.0,1F477 1F3FC 200D 2642 FE0F,\U0001f477\U0001f3fc\u200d\u2642\ufe0f
1367,👷🏼‍♂,People & Body,person-role,man construction worker: medium-light skin tone,minimally-qualified,E4.0,1F477 1F3FC 200D 2642,\U0001f477\U0001f3fc\u200d\u2642
1368,👷🏽‍♂️,People & Body,person-role,man construction worker: medium skin tone,fully-qualified,E4.0,1F477 1F3FD 200D 2642 FE0F,\U0001f477\U0001f3fd\u200d\u2642\ufe0f
1369,👷🏽‍♂,People & Body,person-role,man construction worker: medium skin tone,minimally-qualified,E4.0,1F477 1F3FD 200D 2642,\U0001f477\U0001f3fd\u200d\u2642
1370,👷🏾‍♂️,People & Body,person-role,man construction worker: medium-dark skin tone,fully-qualified,E4.0,1F477 1F3FE 200D 2642 FE0F,\U0001f477\U0001f3fe\u200d\u2642\ufe0f
1371,👷🏾‍♂,People & Body,person-role,man construction worker: medium-dark skin tone,minimally-qualified,E4.0,1F477 1F3FE 200D 2642,\U0001f477\U0001f3fe\u200d\u2642
1372,👷🏿‍♂️,People & Body,person-role,man construction worker: dark skin tone,fully-qualified,E4.0,1F477 1F3FF 200D 2642 FE0F,\U0001f477\U0001f3ff\u200d\u2642\ufe0f
1373,👷🏿‍♂,People & Body,person-role,man construction worker: dark skin tone,minimally-qualified,E4.0,1F477 1F3FF 200D 2642,\U0001f477\U0001f3ff\u200d\u2642
1374,👷‍♀️,People & Body,person-role,woman construction worker,fully-qualified,E4.0,1F477 200D 2640 FE0F,\U0001f477\u200d\u2640\ufe0f
1375,👷‍♀,People & Body,person-role,woman construction worker,minimally-qualified,E4.0,1F477 200D 2640,\U0001f477\u200d\u2640
1376,👷🏻‍♀️,People & Body,person-role,woman construction worker: light skin tone,fully-qualified,E4.0,1F477 1F3FB 200D 2640 FE0F,\U0001f477\U0001f3fb\u200d\u2640\ufe0f
1377,👷🏻‍♀,People & Body,person-role,woman construction worker: light skin tone,minimally-qualified,E4.0,1F477 1F3FB 200D 2640,\U0001f477\U0001f3fb\u200d\u2640
1378,👷🏼‍♀️,People & Body,person-role,woman construction worker: medium-light skin tone,fully-qualified,E4.0,1F477 1F3FC 200D 2640 FE0F,\U0001f477\U0001f3fc\u200d\u2640\ufe0f
1379,👷🏼‍♀,People & Body,person-role,woman construction worker: medium-light skin tone,minimally-qualified,E4.0,1F477 1F3FC 200D 2640,\U0001f477\U0001f3fc\u200d\u2640
1380,👷🏽‍♀️,People & Body,person-role,woman construction worker: medium skin tone,fully-qualified,E4.0,1F477 1F3FD 200D 2640 FE0F,\U0001f477\U0001f3fd\u200d\u2640\ufe0f
1381,👷🏽‍♀,People & Body,person-role,woman construction worker: medium skin tone,minimally-qualified,E4.0,1F477 1F3FD 200D 2640,\U0001f477\U0001f3fd\u200d\u2640
1382,👷🏾‍♀️,People & Body,person-role,woman construction worker: medium-dark skin tone,fully-qualified,E4.0,1F477 1F3FE 200D 2640 FE0F,\U0001f477\U0001f3fe\u200d\u2640\ufe0f
1383,👷🏾‍♀,People & Body,person-role,woman construction worker: medium-dark skin tone,minimally-qualified,E4.0,1F477 1F3FE 200D 2640,\U0001f477\U0001f3fe\u200d\u2640
1384,👷🏿‍♀️,People & Body,person-role,woman construction worker: dark skin tone,fully-qualified,E4.0,1F477 1F3FF 200D 2640 FE0F,\U0001f477\U0001f3ff\u200d\u2640\ufe0f
1385,👷🏿‍♀,People & Body,person-role,woman construction worker: dark skin tone,minimally-qualified,E4.0,1F477 1F3FF 200D 2640,\U0001f477\U0001f3ff\u200d\u2640
1386,🤴,People & Body,person-role,prince,fully-qualified,E3.0,1F934,\U0001f934
1387,🤴🏻,People & Body,person-role,prince: light skin tone,fully-qualified,E3.0,1F934 1F3FB,\U0001f934\U0001f3fb
1388,🤴🏼,People & Body,person-role,prince: medium-light skin tone,fully-qualified,E3.0,1F934 1F3FC,\U0001f934\U0001f3fc
1389,🤴🏽,People & Body,person-role,prince: medium skin tone,fully-qualified,E3.0,1F934 1F3FD,\U0001f934\U0001f3fd
1390,🤴🏾,People & Body,person-role,prince: medium-dark skin tone,fully-qualified,E3.0,1F934 1F3FE,\U0001f934\U0001f3fe
1391,🤴🏿,People & Body,person-role,prince: dark skin tone,fully-qualified,E3.0,1F934 1F3FF,\U0001f934\U0001f3ff
1392,👸,People & Body,person-role,princess,fully-qualified,E0.6,1F478,\U0001f478
1393,👸🏻,People & Body,person-role,princess: light skin tone,fully-qualified,E1.0,1F478 1F3FB,\U0001f478\U0001f3fb
1394,👸🏼,People & Body,person-role,princess: medium-light skin tone,fully-qualified,E1.0,1F478 1F3FC,\U0001f478\U0001f3fc
1395,👸🏽,People & Body,person-role,princess: medium skin tone,fully-qualified,E1.0,1F478 1F3FD,\U0001f478\U0001f3fd
1396,👸🏾,People & Body,person-role,princess: medium-dark skin tone,fully-qualified,E1.0,1F478 1F3FE,\U0001f478\U0001f3fe
1397,👸🏿,People & Body,person-role,princess: dark skin tone,fully-qualified,E1.0,1F478 1F3FF,\U0001f478\U0001f3ff
1398,👳,People & Body,person-role,person wearing turban,fully-qualified,E0.6,1F473,\U0001f473
1399,👳🏻,People & Body,person-role,person wearing turban: light skin tone,fully-qualified,E1.0,1F473 1F3FB,\U0001f473\U0001f3fb
1400,👳🏼,People & Body,person-role,person wearing turban: medium-light skin tone,fully-qualified,E1.0,1F473 1F3FC,\U0001f473\U0001f3fc
1401,👳🏽,People & Body,person-role,person wearing turban: medium skin tone,fully-qualified,E1.0,1F473 1F3FD,\U0001f473\U0001f3fd
1402,👳🏾,People & Body,person-role,person wearing turban: medium-dark skin tone,fully-qualified,E1.0,1F473 1F3FE,\U0001f473\U0001f3fe
1403,👳🏿,People & Body,person-role,person wearing turban: dark skin tone,fully-qualified,E1.0,1F473 1F3FF,\U0001f473\U0001f3ff
1404,👳‍♂️,People & Body,person-role,man wearing turban,fully-qualified,E4.0,1F473 200D 2642 FE0F,\U0001f473\u200d\u2642\ufe0f
1405,👳‍♂,People & Body,person-role,man wearing turban,minimally-qualified,E4.0,1F473 200D 2642,\U0001f473\u200d\u2642
1406,👳🏻‍♂️,People & Body,person-role,man wearing turban: light skin tone,fully-qualified,E4.0,1F473 1F3FB 200D 2642 FE0F,\U0001f473\U0001f3fb\u200d\u2642\ufe0f
1407,👳🏻‍♂,People & Body,person-role,man wearing turban: light skin tone,minimally-qualified,E4.0,1F473 1F3FB 200D 2642,\U0001f473\U0001f3fb\u200d\u2642
1408,👳🏼‍♂️,People & Body,person-role,man wearing turban: medium-light skin tone,fully-qualified,E4.0,1F473 1F3FC 200D 2642 FE0F,\U0001f473\U0001f3fc\u200d\u2642\ufe0f
1409,👳🏼‍♂,People & Body,person-role,man wearing turban: medium-light skin tone,minimally-qualified,E4.0,1F473 1F3FC 200D 2642,\U0001f473\U0001f3fc\u200d\u2642
1410,👳🏽‍♂️,People & Body,person-role,man wearing turban: medium skin tone,fully-qualified,E4.0,1F473 1F3FD 200D 2642 FE0F,\U0001f473\U0001f3fd\u200d\u2642\ufe0f
1411,👳🏽‍♂,People & Body,person-role,man wearing turban: medium skin tone,minimally-qualified,E4.0,1F473 1F3FD 200D 2642,\U0001f473\U0001f3fd\u200d\u2642
1412,👳🏾‍♂️,People & Body,person-role,man wearing turban: medium-dark skin tone,fully-qualified,E4.0,1F473 1F3FE 200D 2642 FE0F,\U0001f473\U0001f3fe\u200d\u2642\ufe0f
1413,👳🏾‍♂,People & Body,person-role,man wearing turban: medium-dark skin tone,minimally-qualified,E4.0,1F473 1F3FE 200D 2642,\U0001f473\U0001f3fe\u200d\u2642
1414,👳🏿‍♂️,People & Body,person-role,man wearing turban: dark skin tone,fully-qualified,E4.0,1F473 1F3FF 200D 2642 FE0F,\U0001f473\U0001f3ff\u200d\u2642\ufe0f
1415,👳🏿‍♂,People & Body,person-role,man wearing turban: dark skin tone,minimally-qualified,E4.0,1F473 1F3FF 200D 2642,\U0001f473\U0001f3ff\u200d\u2642
1416,👳‍♀️,People & Body,person-role,woman wearing turban,fully-qualified,E4.0,1F473 200D 2640 FE0F,\U0001f473\u200d\u2640\ufe0f
1417,👳‍♀,People & Body,person-role,woman wearing turban,minimally-qualified,E4.0,1F473 200D 2640,\U0001f473\u200d\u2640
1418,👳🏻‍♀️,People & Body,person-role,woman wearing turban: light skin tone,fully-qualified,E4.0,1F473 1F3FB 200D 2640 FE0F,\U0001f473\U0001f3fb\u200d\u2640\ufe0f
1419,👳🏻‍♀,People & Body,person-role,woman wearing turban: light skin tone,minimally-qualified,E4.0,1F473 1F3FB 200D 2640,\U0001f473\U0001f3fb\u200d\u2640
1420,👳🏼‍♀️,People & Body,person-role,woman wearing turban: medium-light skin tone,fully-qualified,E4.0,1F473 1F3FC 200D 2640 FE0F,\U0001f473\U0001f3fc\u200d\u2640\ufe0f
1421,👳🏼‍♀,People & Body,person-role,woman wearing turban: medium-light skin tone,minimally-qualified,E4.0,1F473 1F3FC 200D 2640,\U0001f473\U0001f3fc\u200d\u2640
1422,👳🏽‍♀️,People & Body,person-role,woman wearing turban: medium skin tone,fully-qualified,E4.0,1F473 1F3FD 200D 2640 FE0F,\U0001f473\U0001f3fd\u200d\u2640\ufe0f
1423,👳🏽‍♀,People & Body,person-role,woman wearing turban: medium skin tone,minimally-qualified,E4.0,1F473 1F3FD 200D 2640,\U0001f473\U0001f3fd\u200d\u2640
1424,👳🏾‍♀️,People & Body,person-role,woman wearing turban: medium-dark skin tone,fully-qualified,E4.0,1F473 1F3FE 200D 2640 FE0F,\U0001f473\U0001f3fe\u200d\u2640\ufe0f
1425,👳🏾‍♀,People & Body,person-role,woman wearing turban: medium-dark skin tone,minimally-qualified,E4.0,1F473 1F3FE 200D 2640,\U0001f473\U0001f3fe\u200d\u2640
1426,👳🏿‍♀️,People & Body,person-role,woman wearing turban: dark skin tone,fully-qualified,E4.0,1F473 1F3FF 200D 2640 FE0F,\U0001f473\U0001f3ff\u200d\u2640\ufe0f
1427,👳🏿‍♀,People & Body,person-role,woman wearing turban: dark skin tone,minimally-qualified,E4.0,1F473 1F3FF 200D 2640,\U0001f473\U0001f3ff\u200d\u2640
1428,👲,People & Body,person-role,person with skullcap,fully-qualified,E0.6,1F472,\U0001f472
1429,👲🏻,People & Body,person-role,person with skullcap: light skin tone,fully-qualified,E1.0,1F472 1F3FB,\U0001f472\U0001f3fb
1430,👲🏼,People & Body,person-role,person with skullcap: medium-light skin tone,fully-qualified,E1.0,1F472 1F3FC,\U0001f472\U0001f3fc
1431,👲🏽,People & Body,person-role,person with skullcap: medium skin tone,fully-qualified,E1.0,1F472 1F3FD,\U0001f472\U0001f3fd
1432,👲🏾,People & Body,person-role,person with skullcap: medium-dark skin tone,fully-qualified,E1.0,1F472 1F3FE,\U0001f472\U0001f3fe
1433,👲🏿,People & Body,person-role,person with skullcap: dark skin tone,fully-qualified,E1.0,1F472 1F3FF,\U0001f472\U0001f3ff
1434,🧕,People & Body,person-role,woman with headscarf,fully-qualified,E5.0,1F9D5,\U0001f9d5
1435,🧕🏻,People & Body,person-role,woman with headscarf: light skin tone,fully-qualified,E5.0,1F9D5 1F3FB,\U0001f9d5\U0001f3fb
1436,🧕🏼,People & Body,person-role,woman with headscarf: medium-light skin tone,fully-qualified,E5.0,1F9D5 1F3FC,\U0001f9d5\U0001f3fc
1437,🧕🏽,People & Body,person-role,woman with headscarf: medium skin tone,fully-qualified,E5.0,1F9D5 1F3FD,\U0001f9d5\U0001f3fd
1438,🧕🏾,People & Body,person-role,woman with headscarf: medium-dark skin tone,fully-qualified,E5.0,1F9D5 1F3FE,\U0001f9d5\U0001f3fe
1439,🧕🏿,People & Body,person-role,woman with headscarf: dark skin tone,fully-qualified,E5.0,1F9D5 1F3FF,\U0001f9d5\U0001f3ff
1440,🤵,People & Body,person-role,person in tuxedo,fully-qualified,E3.0,1F935,\U0001f935
1441,🤵🏻,People & Body,person-role,person in tuxedo: light skin tone,fully-qualified,E3.0,1F935 1F3FB,\U0001f935\U0001f3fb
1442,🤵🏼,People & Body,person-role,person in tuxedo: medium-light skin tone,fully-qualified,E3.0,1F935 1F3FC,\U0001f935\U0001f3fc
1443,🤵🏽,People & Body,person-role,person in tuxedo: medium skin tone,fully-qualified,E3.0,1F935 1F3FD,\U0001f935\U0001f3fd
1444,🤵🏾,People & Body,person-role,person in tuxedo: medium-dark skin tone,fully-qualified,E3.0,1F935 1F3FE,\U0001f935\U0001f3fe
1445,🤵🏿,People & Body,person-role,person in tuxedo: dark skin tone,fully-qualified,E3.0,1F935 1F3FF,\U0001f935\U0001f3ff
1446,🤵‍♂️,People & Body,person-role,man in tuxedo,fully-qualified,E13.0,1F935 200D 2642 FE0F,\U0001f935\u200d\u2642\ufe0f
1447,🤵‍♂,People & Body,person-role,man in tuxedo,minimally-qualified,E13.0,1F935 200D 2642,\U0001f935\u200d\u2642
1448,🤵🏻‍♂️,People & Body,person-role,man in tuxedo: light skin tone,fully-qualified,E13.0,1F935 1F3FB 200D 2642 FE0F,\U0001f935\U0001f3fb\u200d\u2642\ufe0f
1449,🤵🏻‍♂,People & Body,person-role,man in tuxedo: light skin tone,minimally-qualified,E13.0,1F935 1F3FB 200D 2642,\U0001f935\U0001f3fb\u200d\u2642
1450,🤵🏼‍♂️,People & Body,person-role,man in tuxedo: medium-light skin tone,fully-qualified,E13.0,1F935 1F3FC 200D 2642 FE0F,\U0001f935\U0001f3fc\u200d\u2642\ufe0f
1451,🤵🏼‍♂,People & Body,person-role,man in tuxedo: medium-light skin tone,minimally-qualified,E13.0,1F935 1F3FC 200D 2642,\U0001f935\U0001f3fc\u200d\u2642
1452,🤵🏽‍♂️,People & Body,person-role,man in tuxedo: medium skin tone,fully-qualified,E13.0,1F935 1F3FD 200D 2642 FE0F,\U0001f935\U0001f3fd\u200d\u2642\ufe0f
1453,🤵🏽‍♂,People & Body,person-role,man in tuxedo: medium skin tone,minimally-qualified,E13.0,1F935 1F3FD 200D 2642,\U0001f935\U0001f3fd\u200d\u2642
1454,🤵🏾‍♂️,People & Body,person-role,man in tuxedo: medium-dark skin tone,fully-qualified,E13.0,1F935 1F3FE 200D 2642 FE0F,\U0001f935\U0001f3fe\u200d\u2642\ufe0f
1455,🤵🏾‍♂,People & Body,person-role,man in tuxedo: medium-dark skin tone,minimally-qualified,E13.0,1F935 1F3FE 200D 2642,\U0001f935\U0001f3fe\u200d\u2642
1456,🤵🏿‍♂️,People & Body,person-role,man in tuxedo: dark skin tone,fully-qualified,E13.0,1F935 1F3FF 200D 2642 FE0F,\U0001f935\U0001f3ff\u200d\u2642\ufe0f
1457,🤵🏿‍♂,People & Body,person-role,man in tuxedo: dark skin tone,minimally-qualified,E13.0,1F935 1F3FF 200D 2642,\U0001f935\U0001f3ff\u200d\u2642
1458,🤵‍♀️,People & Body,person-role,woman in tuxedo,fully-qualified,E13.0,1F935 200D 2640 FE0F,\U0001f935\u200d\u2640\ufe0f
1459,🤵‍♀,People & Body,person-role,woman in tuxedo,minimally-qualified,E13.0,1F935 200D 2640,\U0001f935\u200d\u2640
1460,🤵🏻‍♀️,People & Body,person-role,woman in tuxedo: light skin tone,fully-qualified,E13.0,1F935 1F3FB 200D 2640 FE0F,\U0001f935\U0001f3fb\u200d\u2640\ufe0f
1461,🤵🏻‍♀,People & Body,person-role,woman in tuxedo: light skin tone,minimally-qualified,E13.0,1F935 1F3FB 200D 2640,\U0001f935\U0001f3fb\u200d\u2640
1462,🤵🏼‍♀️,People & Body,person-role,woman in tuxedo: medium-light skin tone,fully-qualified,E13.0,1F935 1F3FC 200D 2640 FE0F,\U0001f935\U0001f3fc\u200d\u2640\ufe0f
1463,🤵🏼‍♀,People & Body,person-role,woman in tuxedo: medium-light skin tone,minimally-qualified,E13.0,1F935 1F3FC 200D 2640,\U0001f935\U0001f3fc\u200d\u2640
1464,🤵🏽‍♀️,People & Body,person-role,woman in tuxedo: medium skin tone,fully-qualified,E13.0,1F935 1F3FD 200D 2640 FE0F,\U0001f935\U0001f3fd\u200d\u2640\ufe0f
1465,🤵🏽‍♀,People & Body,person-role,woman in tuxedo: medium skin tone,minimally-qualified,E13.0,1F935 1F3FD 200D 2640,\U0001f935\U0001f3fd\u200d\u2640
1466,🤵🏾‍♀️,People & Body,person-role,woman in tuxedo: medium-dark skin tone,fully-qualified,E13.0,1F935 1F3FE 200D 2640 FE0F,\U0001f935\U0001f3fe\u200d\u2640\ufe0f
1467,🤵🏾‍♀,People & Body,person-role,woman in tuxedo: medium-dark skin tone,minimally-qualified,E13.0,1F935 1F3FE 200D 2640,\U0001f935\U0001f3fe\u200d\u2640
1468,🤵🏿‍♀️,People & Body,person-role,woman in tuxedo: dark skin tone,fully-qualified,E13.0,1F935 1F3FF 200D 2640 FE0F,\U0001f935\U0001f3ff\u200d\u2640\ufe0f
1469,🤵🏿‍♀,People & Body,person-role,woman in tuxedo: dark skin tone,minimally-qualified,E13.0,1F935 1F3FF 200D 2640,\U0001f935\U0001f3ff\u200d\u2640
1470,👰,People & Body,person-role,person with veil,fully-qualified,E0.6,1F470,\U0001f470
1471,👰🏻,People & Body,person-role,person with veil: light skin tone,fully-qualified,E1.0,1F470 1F3FB,\U0001f470\U0001f3fb
1472,👰🏼,People & Body,person-role,person with veil: medium-light skin tone,fully-qualified,E1.0,1F470 1F3FC,\U0001f470\U0001f3fc
1473,👰🏽,People & Body,person-role,person with veil: medium skin tone,fully-qualified,E1.0,1F470 1F3FD,\U0001f470\U0001f3fd
1474,👰🏾,People & Body,person-role,person with veil: medium-dark skin tone,fully-qualified,E1.0,1F470 1F3FE,\U0001f470\U0001f3fe
1475,👰🏿,People & Body,person-role,person with veil: dark skin tone,fully-qualified,E1.0,1F470 1F3FF,\U0001f470\U0001f3ff
1476,👰‍♂️,People & Body,person-role,man with veil,fully-qualified,E13.0,1F470 200D 2642 FE0F,\U0001f470\u200d\u2642\ufe0f
1477,👰‍♂,People & Body,person-role,man with veil,minimally-qualified,E13.0,1F470 200D 2642,\U0001f470\u200d\u2642
1478,👰🏻‍♂️,People & Body,person-role,man with veil: light skin tone,fully-qualified,E13.0,1F470 1F3FB 200D 2642 FE0F,\U0001f470\U0001f3fb\u200d\u2642\ufe0f
1479,👰🏻‍♂,People & Body,person-role,man with veil: light skin tone,minimally-qualified,E13.0,1F470 1F3FB 200D 2642,\U0001f470\U0001f3fb\u200d\u2642
1480,👰🏼‍♂️,People & Body,person-role,man with veil: medium-light skin tone,fully-qualified,E13.0,1F470 1F3FC 200D 2642 FE0F,\U0001f470\U0001f3fc\u200d\u2642\ufe0f
1481,👰🏼‍♂,People & Body,person-role,man with veil: medium-light skin tone,minimally-qualified,E13.0,1F470 1F3FC 200D 2642,\U0001f470\U0001f3fc\u200d\u2642
1482,👰🏽‍♂️,People & Body,person-role,man with veil: medium skin tone,fully-qualified,E13.0,1F470 1F3FD 200D 2642 FE0F,\U0001f470\U0001f3fd\u200d\u2642\ufe0f
1483,👰🏽‍♂,People & Body,person-role,man with veil: medium skin tone,minimally-qualified,E13.0,1F470 1F3FD 200D 2642,\U0001f470\U0001f3fd\u200d\u2642
1484,👰🏾‍♂️,People & Body,person-role,man with veil: medium-dark skin tone,fully-qualified,E13.0,1F470 1F3FE 200D 2642 FE0F,\U0001f470\U0001f3fe\u200d\u2642\ufe0f
1485,👰🏾‍♂,People & Body,person-role,man with veil: medium-dark skin tone,minimally-qualified,E13.0,1F470 1F3FE 200D 2642,\U0001f470\U0001f3fe\u200d\u2642
1486,👰🏿‍♂️,People & Body,person-role,man with veil: dark skin tone,fully-qualified,E13.0,1F470 1F3FF 200D 2642 FE0F,\U0001f470\U0001f3ff\u200d\u2642\ufe0f
1487,👰🏿‍♂,People & Body,person-role,man with veil: dark skin tone,minimally-qualified,E13.0,1F470 1F3FF 200D 2642,\U0001f470\U0001f3ff\u200d\u2642
1488,👰‍♀️,People & Body,person-role,woman with veil,fully-qualified,E13.0,1F470 200D 2640 FE0F,\U0001f470\u200d\u2640\ufe0f
1489,👰‍♀,People & Body,person-role,woman with veil,minimally-qualified,E13.0,1F470 200D 2640,\U0001f470\u200d\u2640
1490,👰🏻‍♀️,People & Body,person-role,woman with veil: light skin tone,fully-qualified,E13.0,1F470 1F3FB 200D 2640 FE0F,\U0001f470\U0001f3fb\u200d\u2640\ufe0f
1491,👰🏻‍♀,People & Body,person-role,woman with veil: light skin tone,minimally-qualified,E13.0,1F470 1F3FB 200D 2640,\U0001f470\U0001f3fb\u200d\u2640
